iter	Passed	Remaining
0	144	14285
1	147	7220
2	150	4863
3	152	3670
4	156	2967
5	158	2486
6	161	2145
7	164	1888
8	166	1686
9	169	1529
10	172	1396
11	176	1293
12	179	1201
13	183	1126
14	186	1057
15	190	1000
16	193	945
17	197	899
18	200	855
19	204	817
20	207	781
21	211	750
22	215	722
23	219	695
24	223	670
25	226	644
26	230	623
27	234	603
28	238	583
29	242	564
30	245	546
31	249	530
32	253	513
33	256	498
34	260	483
35	264	469
36	267	455
37	271	443
38	275	430
39	278	418
40	282	406
41	285	394
42	289	383
43	292	372
44	296	362
45	299	351
46	303	342
47	306	332
48	310	323
49	313	313
50	317	305
51	320	295
52	324	287
53	327	279
54	331	271
55	334	263
56	339	255
57	343	248
58	346	240
59	351	234
60	354	226
61	358	219
62	361	212
63	364	205
64	368	198
65	371	191
66	374	184
67	378	178
68	381	171
69	385	165
70	388	158
71	391	152
72	394	145
73	398	139
74	401	133
75	405	127
76	408	121
77	412	116
78	415	110
79	419	104
80	423	99
81	426	93
82	430	88
83	433	82
84	437	77
85	440	71
86	444	66
87	447	60
88	451	55
89	454	50
90	458	45
91	461	40
92	465	35
93	468	29
94	473	24
95	476	19
96	480	14
97	483	9
98	487	4
99	491	0
