Scenario,Model,Model_Scenario,MAE,RMSE,MAPE (%),R²,Time (s)
raw,Linear Regression,Linear Regression (raw),65.23900497070852,94.58238420420248,66.20525106992454,-0.1875400529939273,0.009443283081054688
raw,SVR,SVR (raw),65.67804511878533,96.25324399735096,63.25182744143194,-0.22986800137274277,4.09646463394165
raw,Random Forest,Random Forest (raw),62.97362926792481,91.88312058104422,66.7880772958344,-0.12072542500755401,4.929670095443726
raw,XGBoost,XGBoost (raw),63.60849028972491,95.43652855789061,60.579735275415736,-0.20908551715685042,2.158095598220825
raw,LightGBM,LightGBM (raw),65.57312178918019,96.72423380281982,64.95762049627517,-0.24193351694239884,1.8322031497955322
raw,CatBoost,CatBoost (raw),63.12594431275547,96.5117398589234,55.06385681524707,-0.23648269132353406,6.339835166931152
technical,Linear Regression,Linear Regression (technical),2.406741475641362,3.782374608670437,2.5618412917322546,0.998100860658847,0.0058786869049072266
technical,SVR,SVR (technical),13.183619494353032,17.931638755443842,20.236528705470985,0.957315744209079,0.30904674530029297
technical,Random Forest,Random Forest (technical),29.61487942611679,58.26184333791838,15.580356896744618,0.5493948056849784,9.932699918746948
technical,XGBoost,XGBoost (technical),38.321962107112796,69.83891183187973,20.212188634231527,0.3525254843116279,0.6755070686340332
technical,LightGBM,LightGBM (technical),36.799973294335764,67.55879717858647,19.633883553976457,0.3941130910412525,1.732457160949707
technical,CatBoost,CatBoost (technical),39.21284635754394,71.41080581432597,20.7982065711615,0.32305151742497273,14.383140325546265
all,Linear Regression,Linear Regression (all),2.38986529768126,3.7748437986452723,2.4952615627739325,0.9981084156057659,0.005677461624145508
all,SVR,SVR (all),13.419285181538257,17.75523865660416,22.23903402744716,0.9581514148116018,0.2677428722381592
all,Random Forest,Random Forest (all),28.935060082324018,57.43336229780804,15.118025624888709,0.5621188650845488,11.640990972518921
all,XGBoost,XGBoost (all),36.35070939232172,66.88345150752204,19.278788815582825,0.4061659379357575,0.5843775272369385
all,LightGBM,LightGBM (all),37.94083772355218,68.25097751721971,20.739191576612853,0.3816341411944828,1.4151346683502197
all,CatBoost,CatBoost (all),35.819114499830114,67.11313572214283,18.766353376959124,0.4020803681070486,1.7650184631347656
