Scenario,Model,Model_Scenario,MAE,RMSE,MAPE (%),R²,Time (s)
raw,MLP,MLP (raw),62.744363263222255,77.1553089483615,91.16391087477398,0.28222843076165083,1.5899715423583984
raw,CNN,CNN (raw),50.5796570621553,69.6756337667097,50.44312386682688,0.41464884685692116,3.0377941131591797
raw,LSTM,LSTM (raw),65.06891495195677,77.7274058183893,101.78644147998787,0.27154459638620443,3.8639144897460938
raw,GRU,GRU (raw),76.74032401715967,84.0783728509841,144.16178787905375,0.147639688567493,3.7502386569976807
raw,BiLSTM,BiLSTM (raw),71.8051479651287,82.03032095016282,128.39818078776395,0.1886589601661447,4.446964263916016
raw,CNN-LSTM,CNN-LSTM (raw),70.29507354160103,79.58927923273134,121.25628356050149,0.23622794162295857,2.26019549369812
raw,Transformer,Transformer (raw),65.18613965828345,77.5855505977531,101.50249362010906,0.274201083007527,5.208489656448364
technical,MLP,MLP (technical),22.970713167552866,29.374990117246735,18.685548169569476,0.8959576672230074,2.354466676712036
technical,CNN,CNN (technical),5.212570988508428,7.438115629077537,5.520831618632454,0.9933291607780147,1.9818177223205566
technical,LSTM,LSTM (technical),10.524756336782923,18.52028612767745,6.854418502327861,0.9586429067817419,2.85233211517334
technical,GRU,GRU (technical),11.313721422537396,14.036265473241725,10.9331330544126,0.9762448503877706,7.134007453918457
technical,BiLSTM,BiLSTM (technical),16.21370295909988,27.504561769462065,8.936000791321224,0.9087854579131343,4.379127502441406
technical,CNN-LSTM,CNN-LSTM (technical),20.195736930111625,36.88598269801306,9.802813716633427,0.8359495827917841,2.8469483852386475
technical,Transformer,Transformer (technical),14.782377029253176,26.704321849717974,7.275971401522859,0.9140159831096851,7.660453796386719
all,MLP,MLP (all),7.771855205537875,12.49783389678081,6.02500163379497,0.9811667999538777,1.8601579666137695
all,CNN,CNN (all),6.490195874525115,8.459150980309433,7.483700726810905,0.9913720389557171,3.0174083709716797
all,LSTM,LSTM (all),8.727745072530826,16.496059730813382,4.687574838305348,0.9671893326505984,4.2825071811676025
all,GRU,GRU (all),11.409695202194401,21.50651607134306,5.680497994161058,0.9442307571063224,6.960893630981445
all,BiLSTM,BiLSTM (all),11.192163440730154,18.13741004566672,7.443024465559649,0.9603352094036554,6.803417921066284
all,CNN-LSTM,CNN-LSTM (all),7.104044050777018,12.396372872095727,4.975054644362822,0.9814713454346676,4.683999538421631
all,Transformer,Transformer (all),18.256251418401327,34.940283101268626,8.797422947465684,0.8528001180190565,7.423824310302734
