Dosya,Basliksiz,Veri_Tarih_Baslangic,Veri_Tarih_Bitis
sekil_3_1_box_temel_makro.png,True,2015-01-01,2024-12-31
sekil_3_2_box_trend_hacim_volatilite.png,True,2015-01-01,2024-12-31
sekil_3_3_box_momentum_osilator.png,True,2015-01-01,2024-12-31
sekil_5_10_rmse_karsilastirma.png,True,2015-01-01,2024-12-31
sekil_5_11_mape_karsilastirma.png,True,2015-01-01,2024-12-31
sekil_5_12_r2_karsilastirma_baseline.png,True,2015-01-01,2024-12-31
sekil_5_1_kapanis_fiyatlari.png,True,2015-01-01,2024-12-31
sekil_5_2_islem_hacimleri.png,True,2015-01-01,2024-12-31
sekil_5_3_imputasyon_karsilastirma.png,True,2015-01-01,2024-12-31
sekil_5_4_tum_ozellikler_boxplot.png,True,2015-01-01,2024-12-31
sekil_5_5_korelasyon_matrisi.png,True,2015-01-01,2024-12-31
sekil_5_6_ozellik_dagilimlari.png,True,2015-01-01,2024-12-31
sekil_5_7_hareketli_ortalama_volatilite.png,True,2015-01-01,2024-12-31
sekil_5_8_on_ozellik_onemi.png,True,2015-01-01,2024-12-31
sekil_5_9_mae_karsilastirma.png,True,2015-01-01,2024-12-31
