Degisken,Onem
Gunluk_Getiri,0.10864055434368089
Volume,0.10602498020063127
USD_TRY,0.0953861888702914
VIX,0.07656664545538691
Momentum_10,0.05664433718696065
MACD_Histogram,0.05474107597434551
BB_Width,0.05372975256279375
Volatilite_10,0.05058145284276428
CCI_20,0.04605462932807388
RSI_14,0.03901240838819337
ADX_14,0.03754712625179845
OBV,0.0347674481311741
MACD,0.033693726476587874
MACD_Signal,0.03360566599268796
Stoch_D,0.02741833627867522
VWAP,0.0241251172370873
ATR_14,0.0190672141108817
Stoch_K,0.017250133805196962
Williams_R,0.017094827510375422
BB_Lower,0.011429721887616498
MA_50,0.009072697183361964
Open,0.008563172822038263
BB_Upper,0.008019895629296855
Close,0.00734429923330397
EMA_20,0.006434820930220501
MA_10,0.006100494340427653
High,0.005668837609867183
Low,0.005414439416280277
