Epoch,Train_Loss,Validation_Loss,Senaryo,Model
1,0.0005805791731420738,0.001179942162707448,scenario_1_basic,MLP
2,0.0004453781378158185,0.0013165445998311043,scenario_1_basic,MLP
3,0.0004366420230975824,0.0012444260064512491,scenario_1_basic,MLP
4,0.0004342351884198641,0.0012628159020096064,scenario_1_basic,MLP
5,0.00043525440898000464,0.0011537963291630149,scenario_1_basic,MLP
6,0.00043461390734072277,0.0014665275812149048,scenario_1_basic,MLP
7,0.0004352789867750419,0.0012116353027522564,scenario_1_basic,MLP
8,0.0004323518301784394,0.0013154168846085668,scenario_1_basic,MLP
9,0.00043272377674189296,0.001249010325409472,scenario_1_basic,MLP
10,0.0004338256137218975,0.0010796361602842808,scenario_1_basic,MLP
1,0.0006387316088876105,0.001341161085292697,scenario_1_basic,CNN
2,0.0004369210533436022,0.001217404380440712,scenario_1_basic,CNN
3,0.0004361648472175667,0.0011537754908204079,scenario_1_basic,CNN
4,0.00043189092970611194,0.0013914795126765966,scenario_1_basic,CNN
5,0.0004334141696225353,0.0012532189721241593,scenario_1_basic,CNN
6,0.0004345216288389305,0.0013254046207293868,scenario_1_basic,CNN
7,0.0004371848304539786,0.001567356288433075,scenario_1_basic,CNN
8,0.00043453217053216316,0.001356096239760518,scenario_1_basic,CNN
9,0.0004358271789897117,0.0019097578478977084,scenario_1_basic,CNN
10,0.00043828819590479337,0.0016422424232587218,scenario_1_basic,CNN
1,0.0005546143688012048,0.0012005048338323832,scenario_1_basic,LSTM
2,0.0004609012196721908,0.001408823998644948,scenario_1_basic,LSTM
3,0.00044982354276206545,0.0010331741068512201,scenario_1_basic,LSTM
4,0.00045123286339990694,0.001066750381141901,scenario_1_basic,LSTM
5,0.0004413364943372601,0.0010392485419288278,scenario_1_basic,LSTM
6,0.0004372391945902824,0.0010306049371138215,scenario_1_basic,LSTM
7,0.0004371088639995183,0.00107972149271518,scenario_1_basic,LSTM
8,0.000438094402592729,0.0010301264701411128,scenario_1_basic,LSTM
9,0.00043584546438069083,0.0010572525206953287,scenario_1_basic,LSTM
10,0.0004331748697430677,0.0010230528423562646,scenario_1_basic,LSTM
1,0.0009249076585027589,0.0019453259883448482,scenario_1_basic,GRU
