Model_Tipi,Senaryo,Model,Parametre_Sayisi,Egitim_Suresi_Sn
DL,scenario_1_basic,MLP,11521,2.329072100110352
DL,scenario_1_basic,CNN,5729,3.394229199970141
DL,scenario_1_basic,LSTM,10993,3.483890200033784
DL,scenario_1_basic,GRU,8257,6.2834348999895155
DL,scenario_1_basic,BiLSTM,21985,5.515696599846706
DL,scenario_1_basic,CNN-LSTM,16497,4.334924400085583
DL,scenario_1_basic,Transformer,38353,18.69988130009733
DL,scenario_2_derived,MLP,24961,2.5569977001287043
DL,scenario_2_derived,CNN,7745,3.7606588997878134
DL,scenario_2_derived,LSTM,13681,4.084439999889582
DL,scenario_2_derived,GRU,10273,7.9290968999266624
DL,scenario_2_derived,BiLSTM,27361,7.261397999944165
DL,scenario_2_derived,CNN-LSTM,17841,5.401038399897516
DL,scenario_2_derived,Transformer,39025,20.06754399999045
DL,scenario_3_all,MLP,31681,2.62387889996171
DL,scenario_3_all,CNN,8753,3.914371500024572
DL,scenario_3_all,LSTM,15025,4.306342499796301
DL,scenario_3_all,GRU,11281,6.809949200134724
DL,scenario_3_all,BiLSTM,30049,6.357380999950692
DL,scenario_3_all,CNN-LSTM,18513,4.291272399947047
DL,scenario_3_all,Transformer,39361,20.87877420010045
