Senaryo,Model,Tip,Return_R2,Return_RMSE,Return_MAE,Direction_Acc
scenario_3_all,CatBoost,ML,-0.019878955946865062,0.025295418530608783,0.019505576506957143,0.500870322019147
scenario_3_all,Transformer,DL,-0.07746684322333941,0.02591831821498312,0.02007122200215488,0.5093582887700535
scenario_3_all,XGBoost,ML,-0.13757278366809467,0.0267151213155271,0.020878086739879946,0.5021758050478677
scenario_3_all,LSTM,DL,-0.14455042130936469,0.026712979150277483,0.021012407301370793,0.5013368983957219
scenario_3_all,LightGBM,ML,-0.1458407096087908,0.026812028854457586,0.021113346906503624,0.5056570931244561
scenario_3_all,BiLSTM,DL,-0.24892025643831261,0.027904369570694587,0.022345947828292762,0.500445632798574
scenario_3_all,MLP,DL,-0.25144513378733246,0.027932561738045637,0.022232210926800177,0.5035650623885918
scenario_3_all,GRU,DL,-0.45886912093302823,0.030158728412188644,0.023479576271315455,0.4870766488413547
scenario_3_all,Linear Regression,ML,-0.47096984282649323,0.030378717740424048,0.023878839770808766,0.5204525674499565
scenario_3_all,Random Forest,ML,-0.5854744621680696,0.03153894630160044,0.02615466962158297,0.5043516100957354
scenario_3_all,CNN-LSTM,DL,-1.97222978880537,0.04304731335153066,0.033879061891069186,0.5115864527629234
scenario_3_all,SVR,ML,-4.159129790608999,0.05689259993465443,0.03909456885706937,0.5082680591818973
scenario_3_all,CNN,DL,-48.626602839102055,0.1758984991262242,0.1268881312259132,0.5017825311942959
